"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 29 09:42:20 AMT 2024","Sat Jun 29 09:42:21 AMT 2024","1249","","Partial Update Booking Tests","TestBookingPartialUpdate","","","Patch Booking with Various Conditions","This test verifies partial updates to booking information under various conditions."
"passed","Sat Jun 29 09:42:17 AMT 2024","Sat Jun 29 09:42:17 AMT 2024","639","","Update Booking Tests","TestBookingUpdate","","","Update Booking Information","This test verifies that booking information can be successfully updated."
"passed","Sat Jun 29 09:42:24 AMT 2024","Sat Jun 29 09:42:24 AMT 2024","602","","Delete Booking Tests","TestBookingDelete","","","Delete Non-Existent Booking","This test verifies that attempting to delete a booking that does not exist returns the appropriate error response."
"passed","Sat Jun 29 09:42:24 AMT 2024","Sat Jun 29 09:42:26 AMT 2024","1212","","Delete Booking Tests","TestBookingDelete","","","Delete Booking","This test verifies the deletion of a booking by its ID."
"passed","Sat Jun 29 09:42:21 AMT 2024","Sat Jun 29 09:42:22 AMT 2024","1296","","Partial Update Booking Tests","TestBookingPartialUpdate","","","Patch Booking with Various Conditions","This test verifies partial updates to booking information under various conditions."
"passed","Sat Jun 29 09:42:15 AMT 2024","Sat Jun 29 09:42:16 AMT 2024","619","","Update Booking Tests","TestBookingUpdate","","","Update Booking Information","This test verifies that booking information can be successfully updated."
"passed","Sat Jun 29 09:42:14 AMT 2024","Sat Jun 29 09:42:15 AMT 2024","596","","TEST BOOKING GET - suite","TestBookingGet","","","Test Retrieve Booking By Id","This test case verifies that the system retrieves a specific booking by ID"
"passed","Sat Jun 29 09:42:13 AMT 2024","Sat Jun 29 09:42:14 AMT 2024","898","","TEST BOOKING GET - suite","TestBookingGet","","","Test Retrieve All Bookings","This test case verifies that the system retrieves all bookings"
"passed","Sat Jun 29 09:42:19 AMT 2024","Sat Jun 29 09:42:20 AMT 2024","801","","Update Booking Tests","TestBookingUpdate","","","Attempt to Update Booking with Invalid Conditions","This test verifies that updating a booking with invalid token returns the appropriate error response."
"passed","Sat Jun 29 09:42:18 AMT 2024","Sat Jun 29 09:42:18 AMT 2024","618","","Update Booking Tests","TestBookingUpdate","","","Attempt to Update Booking with Invalid Conditions","This test verifies that updating a booking with invalid token returns the appropriate error response."
"passed","Sat Jun 29 09:42:12 AMT 2024","Sat Jun 29 09:42:13 AMT 2024","588","","Ping Tests","TestBookingGetPing","","","Check Booking Service Ping","This test verifies the ping endpoint of the booking service to ensure it is up and running."
"passed","Sat Jun 29 09:42:22 AMT 2024","Sat Jun 29 09:42:23 AMT 2024","615","","Partial Update Booking Tests","TestBookingPartialUpdate","","","Negative Test Cases for Updating Booking","This test verifies that invalid update operations on bookings return appropriate error responses."
"passed","Sat Jun 29 09:42:23 AMT 2024","Sat Jun 29 09:42:24 AMT 2024","721","","Partial Update Booking Tests","TestBookingPartialUpdate","","","Negative Test Cases for Updating Booking","This test verifies that invalid update operations on bookings return appropriate error responses."
"passed","Sat Jun 29 09:42:13 AMT 2024","Sat Jun 29 09:42:13 AMT 2024","632","","Booking Creation Tests","TestBookingCreate","","","Create Booking and Verify Attributes","This test creates a new booking and verifies the attributes of the created booking."
